campaign_id,campaign_name,channel,campaign_objective,start_date,end_date,spend,impressions,clicks,target_audience,country,device_type,conversions,revenue_attributed
CMP-001,Google Search | Back to Work | 001,Google Search,High-intent acquisition,2024-11-25,2025-02-08,49222.74,792835,38611,New shoppers,Germany,Desktop,318,29209.0
CMP-002,TikTok Ads | Holiday Drop | 002,TikTok Ads,New customer acquisition,2025-03-30,2025-05-22,18450.87,566440,28322,VIP customers,UK,Mobile,111,8517.33
CMP-003,TikTok Ads | Back to Work | 003,TikTok Ads,New customer acquisition,2025-03-22,2025-05-26,26472.5,1445622,55072,Premium shoppers,Italy,Mobile,200,16534.6
CMP-004,Affiliate | Spring Edit | 004,Affiliate,Partner-led acquisition,2025-05-14,2025-08-10,30026.27,1164513,36815,New shoppers,Netherlands,Mobile,120,9646.51
CMP-005,Meta Ads | Spring Edit | 005,Meta Ads,Prospecting and retargeting,2025-04-04,2025-05-09,40357.4,1416178,45530,Young fashion buyers,Italy,Mobile,466,39998.38
CMP-006,Affiliate | Beauty Boost | 006,Affiliate,Partner-led acquisition,2024-07-20,2024-09-22,24770.65,1159768,35952,New shoppers,France,Mobile,539,48310.87
CMP-007,Email | VIP Retention | 007,Email,Retention and lifecycle marketing,2025-03-07,2025-04-07,1954.84,414500,20725,Discount-sensitive customers,UK,Mobile,287,24855.0
CMP-008,Google Search | Back to Work | 008,Google Search,High-intent acquisition,2024-07-11,2024-08-02,63052.28,1202222,57153,VIP customers,France,Tablet,82,7372.45
CMP-009,Google Search | Beauty Boost | 009,Google Search,High-intent acquisition,2024-04-15,2024-06-15,40254.0,740488,28446,VIP customers,Germany,Desktop,279,21978.39
CMP-010,TikTok Ads | Spring Edit | 010,TikTok Ads,New customer acquisition,2024-01-07,2024-03-30,17609.96,953365,33299,Returning customers,Italy,Desktop,79,5840.53
CMP-011,Email | Summer Sale | 011,Email,Retention and lifecycle marketing,2025-09-05,2025-11-18,1986.51,363760,18188,Discount-sensitive customers,UK,Desktop,154,13617.64
CMP-012,Affiliate | VIP Retention | 012,Affiliate,Partner-led acquisition,2024-10-27,2025-01-12,17562.75,514088,20889,Returning customers,Poland,Mobile,92,7359.7
CMP-013,Affiliate | Beauty Boost | 013,Affiliate,Partner-led acquisition,2024-12-14,2025-01-07,20747.62,955168,37424,Premium shoppers,Netherlands,Mobile,171,13278.3
CMP-014,Meta Ads | Sneaker Week | 014,Meta Ads,Prospecting and retargeting,2024-11-02,2024-12-15,68320.75,2010644,86797,Young fashion buyers,UK,Tablet,479,40623.06
CMP-015,Email | Back to Work | 015,Email,Retention and lifecycle marketing,2025-09-10,2025-10-17,2096.13,266620,13331,Discount-sensitive customers,Netherlands,Mobile,154,13343.24
CMP-016,Organic Search | VIP Retention | 016,Organic Search,SEO-led acquisition,2024-07-02,2024-08-13,9107.94,1089360,54468,New shoppers,Germany,Mobile,542,48756.83
CMP-017,Organic Search | Holiday Drop | 017,Organic Search,SEO-led acquisition,2024-01-12,2024-03-20,3535.58,396300,19815,Returning customers,Spain,Desktop,376,35275.59
